experiment,dir,branch,block size,block_group_size,workload,scalefactor,selectivity,clustering,indexes,shared_buffers,work_mem,synchronize_seqscans,pbm_evict_num_samples,pbm_bg_naest_max_age,pbm_evict_num_victims,pbm_evict_use_freq,pbm_evict_use_idx_scan,pbm_idx_scan_num_counts,pbm_lru_if_not_requested,parallelism,time,count_multiplier,prewarm,seed,query_order_randomized,read_ios,read_merges,sectors_read,read_ticks,write_ios,write_merges,sectors_written,write_ticks,in_flight,io_ticks,time_in_queue,discard_ios,discard_merges,discard_sectors,discard_ticks,flush_ios,flush_ticks,Throughput (requests/second),Goodput (requests/second),Benchmark Runtime (nanoseconds),Average Latency (microseconds),Maximum Latency (microseconds),99th Percentile Latency (microseconds),95th Percentile Latency (microseconds),90th Percentile Latency (microseconds),75th Percentile Latency (microseconds),Median Latency (microseconds),25th Percentile Latency (microseconds),Minimum Latency (microseconds),average_stream_s,max_stream_s,heap_blks_hit,heap_blks_read,idx_blks_hit,idx_blks_read,db_active_time,db_blk_read_time,db_blks_hit,db_blks_read,lineitem_heap_blks_hit,lineitem_heap_blks_read,lineitem_idx_blks_hit,lineitem_idx_blks_read,hit_rate,lineitem_hit_rate,data_read_gb,data_processed_gb
parallelism_micro_seqscans_ALT_1,TPCH_2024-10-08_11-54-40,pbm2,8,1024,micro_w,100,0.3,dates,lineitem_brinonly,37000MB,4MB,on,100,10,1,,,,,4,900,,True,5786,,6182586,46371,772879824,9685756,3272,9,322216,9153,0,1086048,9694909,0,0,0,0,0,0,0.009999997497600626,0.018888884162134516,900000225216,242010098,322183333,322183333,322183333,322183333,251792527,228016103,226523190,180291188,544.52272225,658.614556,85107715,38806933,5245,7703,4097530.773,5309694.018,85140082.0,38817046.0,85107715,38806933,5245,7703,0.6867958610284024,0.6867958610284024,296.1321716308594,945.4925231933594
parallelism_micro_seqscans_ALT_1,TPCH_2024-10-08_12-16-25,pbm3,8,1024,micro_w,100,0.3,dates,lineitem_brinonly,37000MB,4MB,on,10,10,1,,,,,4,900,,True,5786,,6629241,43531,865902592,13546270,3137,14,289512,14675,0,1085456,13560946,0,0,0,0,0,0,0.006659268234101793,0.015538292546237514,900999898048,364308515,527855389,527855389,527855389,527855389,498386239,379376426,245023812,212812772,546.4627735,592.189198,41261414,49001945,7169,5776,4140696.92,6815528.918,41296881.0,49009242.0,41261414,49001945,7169,5776,0.45713638210088886,0.45713638210088886,373.8992385864258,688.7535400390625
parallelism_micro_seqscans_ALT_1,TPCH_2024-10-08_12-37-56,pbm3,8,1024,micro_w,100,0.3,dates,lineitem_brinonly,37000MB,4MB,on,100,10,1,,,,,4,900,,True,5786,,6220404,75424,696360000,10766193,2667,8,272440,13318,0,944672,10779511,0,0,0,0,0,0,0.005549389427661463,0.014428412511919802,901000022647,221647363,261458185,261458185,261458185,261458185,257487569,251957507,221802591,115530965,277.05920425,479.29016,39082890,39812802,10635,2309,3728484.342,4800079.151,39122258.0,39816548.0,39082890,39812802,10635,2309,0.49542771212012837,0.49542771212012837,303.7651901245117,602.0251159667969
parallelism_micro_seqscans_ALT_1,TPCH_2024-10-08_12-57-18,base,8,1024,micro_w,100,0.3,dates,lineitem_brinonly,37000MB,4MB,on,,,,,,,,8,900,,True,5786,,3178470,69970,1184883392,36078976,2921,25,329752,45143,0,1234264,36124120,0,0,0,0,0,0,0.008888880179860384,0.025555530517098607,900000881790,268117312,413292173,413292173,413292173,413292173,325244966,276131761,236570151,139100126,268.117312625,719.67944,91195643,85294185,14699,1124,9081127.669,8761843.689,91245200.0,85296776.0,91195643,85294185,14699,1124,0.5167559309475026,0.5167559309475026,650.7515640258789,1346.631248474121
parallelism_micro_seqscans_ALT_1,TPCH_2024-10-08_13-23-08,pbm1,8,1024,micro_w,100,0.3,dates,lineitem_brinonly,37000MB,4MB,on,,,,,,,,8,900,,True,5786,,1650490,60894,1240959600,28955905,3952,22,365616,62226,0,1245356,29018131,0,0,0,0,0,0,0.008888888639970378,0.026666665919911132,900000025203,254618014,341229102,341229102,341229102,341229102,312279520,285624894,220692834,145998859,254.618014625,576.066776,121168261,70381637,8227,4726,8521679.753,6865640.566,121211230.0,70388770.0,121168261,70381637,8227,4726,0.6325677831971711,0.6325677831971711,537.0053329467773,1461.5085678100586
parallelism_micro_seqscans_ALT_1,TPCH_2024-10-08_13-49-20,pbm2,8,1024,micro_w,100,0.3,dates,lineitem_brinonly,37000MB,4MB,on,1,10,,,,,,8,900,,True,5786,,9814062,51627,1233015592,21631525,3405,15,342112,12290,0,1478652,21643816,0,0,0,0,0,0,0.002219756085419979,0.018867926726069822,900999895050,361464138,393783329,393783329,393783329,393783329,393783329,393783329,329144948,329144948,90.366034625,393.783329,49879342,59074788,11925,3891,10358935.983,13015491.499,49925587.0,59080914.0,49879342,59074788,11925,3891,0.4578442848819986,0.4578442848819986,450.7345504760742,831.3747100830078
parallelism_micro_seqscans_ALT_1,TPCH_2024-10-08_14-17-22,pbm2,8,1024,micro_w,100,0.3,dates,lineitem_brinonly,37000MB,4MB,on,10,10,1,,,,,8,900,,True,5786,,5829440,51983,1124227328,23782137,1430,7,269368,10998,0,1414196,23793135,0,0,0,0,0,0,0.006666661023160333,0.023333313581061166,900000761874,386233806,569286686,569286686,569286686,569286686,424186641,387374412,322933292,290342598,289.67535475,677.71701,114987904,54058628,8452,4492,9246635.076,8768174.53,115032813.0,54066475.0,114987904,54058628,8452,4492,0.6802124241766844,0.6802124241766844,412.4688720703125,1289.8214416503906
parallelism_micro_seqscans_ALT_1,TPCH_2024-10-08_14-45-15,pbm2,8,1024,micro_w,100,0.3,dates,lineitem_brinonly,37000MB,4MB,on,100,10,1,,,,,8,900,,True,5786,,6405129,35375,894491328,13243895,2417,24,292840,9232,0,1173540,13253127,0,0,0,0,0,0,0.005549390952099444,0.023307441998817662,900999775139,287215931,349304731,349304731,349304731,349304731,323063920,321600634,278746080,163364291,179.509957,512.669022,97123057,49374170,7869,9388,8516694.014,6640767.875,97168261.0,49387250.0,97123057,49374170,7869,9388,0.6629441905552491,0.6629441905552491,376.7666473388672,1117.8168029785156
parallelism_micro_seqscans_ALT_1,TPCH_2024-10-08_15-11-22,pbm3,8,1024,micro_w,100,0.3,dates,lineitem_brinonly,37000MB,4MB,on,10,10,1,,,,,8,900,,True,5786,,5460331,46048,1114358936,19325804,4811,19,321376,20404,0,1235716,19346210,0,0,0,0,0,0,0.0022222209185217526,0.016666656888913143,900000527999,397944181,431809286,431809286,431809286,431809286,431809286,431809286,364079076,364079076,99.48604525,431.809286,37548977,56373934,11135,3244,8570112.55,11333347.184,37598054.0,56379494.0,37548977,56373934,11135,3244,0.3998424055026497,0.3998424055026497,430.1237335205078,716.6846466064453
parallelism_micro_seqscans_ALT_1,TPCH_2024-10-08_15-35-42,pbm3,8,1024,micro_w,100,0.3,dates,lineitem_brinonly,37000MB,4MB,on,100,10,1,,,,,8,900,,True,5786,,2730488,34760,1192528856,23745260,2254,18,442088,16729,0,1242332,23761990,0,0,0,0,0,0,0.00333333264621866,0.017777774113166188,900000185521,460025253,472466300,472466300,472466300,472466300,472466300,454792019,452817442,452817442,172.509470125,472.4663,67134965,68066249,3253,5383,9756503.942,7416510.759,67177982.0,68074021.0,67134965,68066249,3253,5383,0.4965482766233377,0.4965482766233377,519.3453369140625,1031.5692901611328
