branch,samples,seed,selectivity,parallelism,read_ios,write_ios,hit_rate
pbm2,1,3127,0.1,32,157404580.0,6704.0,0.48759988736290705
pbm2,10,19740,0.1,64,181721155.0,6983.0,0.7782971723785388
pbm2,20,19740,0.1,128,186820874.0,6529.0,0.8192393274562032
pbm2,20,3636,0.1,64,167140991.0,5183.0,0.7742811009396066
pbm2,1,3636,0.1,32,159294458.0,4687.0,0.5317730154366402
pbm2,10,3127,0.1,32,132770923.0,11420.0,0.7027754032136168
pbm2,20,4448,0.1,32,130233591.0,12908.0,0.7080392571104144
pbm2,10,9774,0.1,128,200717574.0,9771.0,0.8251038583270341
pbm2,20,19357,0.1,64,173747640.0,12170.0,0.7897741089466073
base,,15930,0.1,64,163191016.0,9909.0,0.6093737909925488
pbm2,20,4448,0.1,64,175232451.0,10573.0,0.779046752874017
base,,9774,0.1,64,166113899.0,13671.0,0.6311635845481448
base,,19357,0.1,32,117214155.0,9522.0,0.5404000907957166
base,,4448,0.1,32,122901269.0,8025.0,0.4990211683351171
pbm2,10,19357,0.1,32,136860220.0,15002.0,0.7163620651278703
pbm1,,9774,0.1,128,165509246.0,6932.0,0.7528929334810168
