datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
0,,0,0,0,33100,277819,89250,76350,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2024-10-23 20:29:36.612887-04
12974,postgres,0,3047,0,34286,142412,1916671,46174,0,0,0,0,0,0,0,,,5248.366,0,1154.175,1149.037,0,1,0,0,0,2024-10-23 20:29:36.612849-04
16384,TPCH_100,32,1580,0,220338834,424827549,6440843236,34338281142,0,0,0,0,0,0,0,,,22231778.957,0,42610925.076,42606938.479,201.293,26,0,0,0,2024-10-26 02:52:40.40923-04
1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
12973,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
