relid,indexrelid,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch
16406,16419,public,lineitem,l_brin_sd,310,4708425280,0
16406,16420,public,lineitem,l_brin_cd,0,0,0
16406,16421,public,lineitem,l_brin_rd,0,0,0
16406,16422,public,lineitem,l_brin_discount,0,0,0
16406,16423,public,lineitem,l_brin_qty,0,0,0
