datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
0,,0,0,0,30700,267890,85922,73298,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2024-10-23 20:29:36.612887-04
12974,postgres,0,2983,0,33234,139490,1876229,45075,0,0,0,0,0,0,0,,,5107.539,0,1154.175,1149.037,0,1,0,0,0,2024-10-23 20:29:36.612849-04
16384,TPCH_100,32,1522,0,222338256,372548235,5938803822,31661691898,0,0,0,0,0,0,0,,,24235852.643,0,42526583.292,42522329.191,189.109,26,0,0,0,2024-10-26 02:19:45.900032-04
1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
12973,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
