datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
0,,0,0,0,2313,66844,22448,16724,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2024-10-23 20:29:36.612887-04
12974,postgres,0,1383,0,7887,65487,865179,17600,0,0,0,0,0,0,0,,,1376.591,0,1154.175,1149.037,0,1,0,0,0,2024-10-23 20:29:36.612849-04
16384,TPCH_100,32,459,0,263953950,589102896,33391126496,14870049023,0,0,0,0,0,0,0,,,15586236.863,0,38209779.596,38205544.144,60.141,26,0,0,0,2024-10-24 19:47:36.855451-04
1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
12973,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
